image_id,logit
01b18ece7852937f47f8,26.864119
0530e3b4185e43f427b6,-10.71952
053ae54ac043d1d2c36d,-41.549812
0707e0c77e30bc9d520f,-32.10997
0870008f9cd958563ba7,49.01184
0883b79de7bdca7cd5e0,-19.814583
0a906f0e20cbbbf2372e,-27.012568
0b564e3b7c44ecfcbb25,-15.376818
0b71653243c2dbc67e28,39.99509
0d21cd3b7e0c72398cf8,9.176472
0e7fa5e967f1831cf132,41.983463
0faf18a775122d51d46d,41.76348
10977a26ee1eb6e7c156,-16.931898
13f4775e4dfcd81e4160,-12.904045
1534b7460595fa642684,27.761507
16f713f857326846582e,-32.10997
180a1529c26a6b5e0b9d,-32.440823
19da952300c4766800c4,-20.91824
1a106b093292a41a59a5,48.474453
1a4d9b1af4175bcfd785,58.214573
1bf07816eba57b0bceb9,-9.673294
1bfd3630ee3c697a8059,61.199726
1c0ba9ccda5e626edab7,39.68356
1e8a1c607db40b03dcf6,-27.084967
1fa0f729305a37bd981a,-10.71952
200957a0ec11a4b249b9,-0.9651806
21265ec82cc3d6f4d803,34.142715
215661f42230b93cbd25,24.152472
233acddc049866a18c7b,-43.246765
23a68dc19469c48a0751,-18.295706
2541a6bbf0cc7d078133,46.31154
25575b6a7c5f4b906f9f,28.42522
257e56a141c334199569,-30.835611
25d8e3b1fbebfca4f7a8,-34.66482
27490ef604e03d6a2266,-23.537203
3075dab8edad75eab547,-28.715437
30bc5f6e2d678566cc2c,-20.282581
31302a03a5a7c2b87d08,24.96047
31ce5ea73edb9a15b2be,-19.820278
3205e57fb5b3bf56f228,-20.91824
349a963d05a7a20dd3c5,-29.142302
35064302e175ae978573,-20.91824
398593ccddd521a26356,39.59242
39af6350b9325969fab4,-32.938328
39bc4c3ced4be4317e33,41.6554
3b9bc32e5b25d693332b,-20.35981
3c66c4a26f65aab92316,36.80359
3cc6815500911d88b0ea,-28.715437
400a691213e8305aefd4,-25.562891
419eee2e6aa2bab1a95b,23.870144
41b962b58ead2c83055f,29.227175
42766349a11f4a430cb5,-24.52477
43098fd5dfba85d00d4b,-25.562891
430b65f18581c55cde6b,27.467726
437b592a5663aa5e7fab,30.197893
4435b6f0ddbbae8bca5c,9.176472
44b07d1b567da35bcb77,24.618895
45172be815548bb928b1,41.53774
46a08b4b540887ec7ea7,39.286465
4a345d6f5d52d48c8da3,47.09152
4bbdd5503aa53bf956e3,37.790173
4bf98d415cca07813640,-41.549812
4cbd71aa51b95e0c6ca6,18.864214
4cebae3a1791ee972cf0,43.03161
4d235e084677ab187786,-20.91824
4d3862c1b58c48ff2f16,-34.66482
4fb235a381431f724c05,-25.869116
503e70527d8b5e48e073,-24.52477
50ef8ce42dc7874cf5ae,-22.141914
515a9792b868394b3952,-26.750277
55ad1fd5c0a2d5335ad8,-18.807133
57a36a2c16c959ce02c9,32.255463
583a7d61cc360964c32d,25.853397
594a1c782ad424b605d6,41.76348
5aed110e84bca09ffc8e,-26.750277
5fb91a5c59f6190a6436,-37.283756
60fb7b14f94c3e052fe1,-15.477245
619e0d153a63b0d6e90b,-0.9651806
61c420d1e50de186bea4,36.898193
623cc063e21739f03187,45.774727
636a149757e2bfaf8bb1,29.60538
643561e6c8236ab12c19,53.05558
6477679a246c684d7c3d,55.758144
64ad9696ef731126df63,-30.567951
650c473de4718bfe61c8,-8.513388
657b84f2a64f1b481a7f,27.403004
664f69622f098f4b304c,-43.246765
6da4d87442de8813a6b7,19.145952
6e0c7546d64fbf78e8da,33.16238
6f74a462082b0af84c19,0.04620183
6fde3b8640c9d0a071fd,51.463905
6ff23bc633f9584643cc,39.664825
70339fd2771d27c257ad,-20.91824
70a03b9d967ddddc4afe,37.578236
71bb6b483d78022e6555,32.637985
726b5fb5b4f47168e3a7,-22.141914
73b3606a2adb2a9a6cb6,14.600193
7456fc588caf93de78ae,11.083167
7510a1f3b4fad38e0ec8,66.17333
75776c87df9a720b5431,-41.549812
75a6a826d5588ca22151,36.29995
76397f259f730c5ae17d,-19.82028
797b96bc927354276851,-31.486706
7cb984ad4795196b169f,-26.952621
7d1c99fc98937d05dd0a,-12.904045
7d49195dbb94820ea804,24.336123
7d72d44f7a6bfc256468,-20.835966
7d86d09154e2dee6831d,41.959812
7fcc5ded83fbce4e641e,36.80359
7fd1ba5b6669115d5566,-8.449553
805f7fdb8df0f614f850,23.46219
810f5cf3925c2d2ed732,-27.012568
81f0b606d4c486fbd8ca,21.027336
824bc37aaa4d1b720381,25.982422
8319d1d584f5b3ffb3bb,-25.95935
839e494fbb98decfda97,15.589583
83d819f450375d2ac017,-32.10997
845da6c489164385b406,-15.376818
8480d73016e02f52a183,-23.846827
8823ae4081320e6da5df,32.637985
89962c57209bdea23c56,-32.440823
8aa2aae789d1e1065703,39.68356
8bd90c1b1c682570cb7a,-18.295706
8efd72c895e71c2a844a,-32.440823
8fa681ea781aaa9f211c,45.111897
92d2d33836662cb63ce3,35.23302
93314d92f44ed62c98d7,-15.451114
96e65f3c87d59c474cee,-28.729275
97ceb5e49c5f1c3d028c,-8.513388
97f77d448c0a2effd34f,-18.807133
9808211ef1d721a84661,-20.91824
98659bc1d036cbbad298,21.004248
991283213b82c3171b1b,24.034636
9918617bf3032761d37e,41.856762
9b20789ff71d17d45780,-32.938328
9b448ac318b05148960e,10.835353
9c5fc1be2b056e1dc782,-27.084967
9d21c13159e77c34e1cd,22.208958
9ddef97bb4f805968dc1,56.114105
a027930cf0a4e13d96ba,-23.846827
a42363e205aa0de42917,-28.688314
a435dbe2c76e68dc997a,-2.771758
a43cd799fd3b37e94627,-9.673294
a5d9f51567e182c5db99,27.616808
ac2b95613aec7ff196d0,30.88569
b152c12ab9326abdbe28,-17.22721
b1e41ccceaf72110f19d,67.8524
b6039e6dc4b9f7835bdc,65.14395
b6740daccaea22461ff4,49.072006
b7e9d0a276609602a902,28.93718
b930f6e9fa6e8a3a68e0,34.11494
bd1e2854775178c436ee,42.45008
c0d30cb659cd8ad0ad34,37.232613
c1335e92eb05db6b4aad,-28.688314
c44312aa005464505984,-30.835611
c6716aea38238743f860,-25.95935
c6bb91dace8ab0fae937,-30.201296
c7289016ab97544f3526,-37.283756
c7c35e920c88f572bc0d,-29.142302
c8ba8178f786f7c1842e,5.720927
c90996da3d6e7eacbb93,-20.835966
c911f47afb9cea972ea2,-31.486706
ca01630381f51f737488,-26.952621
cc62da8f0e433a1d633c,-34.66482
d02ab061c6b94f6126e9,51.143307
d105289f31ef634d8b08,-19.814583
d2190443a1634ab0696b,24.96047
d26031ad63c8a6f8cff5,54.91021
d2bdde8e1202657f7598,-21.838749
d2ec22f7bd9ceffa5ec5,-28.729275
d3f281143cc97fb03cd0,44.95367
d546e6f5cdeae2400a45,34.62498
d607cb1556db53cfe3bb,-30.201296
d675379adc08d8669376,-34.66482
d79da53153a20bab50e9,45.981575
d8c7490097ba66a301be,-30.567951
da8ae655498e9ca5dedd,56.06457
dafcd60c0937c1fe7be3,67.62521
db29d5c882ac0be51d20,-21.870146
dc4e329b46dd62a72896,55.758144
dccbc73b250a6756f4c0,28.090038
df21a7313ff20fc0426d,47.17623
df3b717efa98b9990193,26.073286
dfc5b7fb121012fc07f8,-43.246765
e053085d49826e3728f0,7.536405
e14456d724436f03de31,-17.22721
e2b88c9cfe39e7c56965,0.04620183
e32c8a3e5aabcb6ee403,-26.750277
e399caf38f3cdc7c1f70,41.729977
e3dab83f5d0c8a2fc1e2,-43.246765
e5569cd88eb2d7375485,-11.198238
e6103d2e9a0aa245f508,43.453747
e6792bd0c1b13346131b,55.151947
e68587975a00fda302f1,50.21124
e7a0c1ddcba2386c617f,-41.549812
e828925961411f343f1f,32.255463
ed2c171c59c3f3f4b221,-15.477245
ed42c82ee230afcaf4a1,42.786175
edb4fe8707a089baa192,-32.10997
f265ce541cb055bb51fb,-23.537203
f2bf6a6dff180223554b,-16.931898
f33a32cf80aadd5177c9,2.899957
f43d5bf481f549edd62e,-25.869116
f4bdc06df808900afa29,-22.109053
f4f0efa93d9ec10b3bbb,-22.109053
f5ec803ecff940f86b72,18.864214
f81dd81f1f22183e1ae5,27.853855
f86ee22531f64742f9ab,-20.35981
fe9a6e84f72b81a2fb96,-15.451114
